,id,event_num
0,10883,0
1,10882,0
2,10881,0
3,10880,0
4,10879,0
5,10877,0
6,10876,0
7,10875,0
8,10874,0
9,10873,0
10,10872,0
11,10869,0
12,10868,8
13,10866,0
14,10865,3
15,10864,0
16,10858,0
17,10857,3
18,10856,0
19,10854,0
20,10851,0
21,10844,2
22,10842,1
23,10841,0
24,10839,0
25,10838,20
26,10836,0
27,10835,0
28,10834,0
29,10833,2
30,10831,0
31,10830,21
32,10827,0
33,10825,0
34,10824,0
35,10821,0
36,10820,23
37,10818,33
38,10817,0
39,10815,0
40,10814,20
41,10811,23
42,10810,17
43,10809,25
44,10808,0
45,10803,34
46,10802,29
47,10801,32
48,10800,35
49,10799,28
50,10798,33
51,10796,42
52,10794,0
53,10793,0
54,10792,29
55,10789,24
56,10788,28
57,10787,18
58,10785,0
59,10784,0
60,10783,0
61,10781,26
62,10780,22
63,10779,19
64,10778,21
65,10777,34
66,10451,0
67,10448,5
68,10443,0
69,10442,0
70,10440,0
71,10438,1
72,10436,0
73,10432,0
74,10431,0
75,10428,0
76,10427,0
77,10426,0
78,10425,0
79,10424,0
80,10423,0
81,10421,0
82,10417,0
83,10408,0
84,10400,0
85,10398,0
86,10396,0
87,10387,0
88,10386,0
89,10384,0
90,10377,0
91,10372,0
92,10351,0
93,10341,0
94,10331,0
95,10330,0
96,10329,0
97,10280,0
98,10266,0
99,10264,0
100,10263,0
101,10253,0
102,10248,0
103,10247,0
104,10246,0
105,10243,0
106,10242,0
107,10241,0
108,10238,0
109,10236,0
110,10234,0
111,10217,0
112,10204,0
113,10202,0
114,10200,0
115,10177,0
116,10169,0
117,10032,0
118,9983,0
119,9975,0
120,9967,0
121,9959,0
122,9930,0
123,9927,0
124,9911,0
125,9891,0
126,9890,0
127,9869,0
128,9868,0
129,9867,0
130,9866,0
131,9865,0
132,9864,0
133,9863,0
134,9862,0
135,9861,0
136,9860,0
137,9859,0
138,9858,0
139,9857,0
140,9856,0
141,9855,0
142,9854,0
143,9853,0
144,9852,0
145,9851,0
146,9850,0
147,9849,0
148,9848,0
149,9847,0
150,9846,0
151,9845,0
152,9844,0
153,9843,0
154,9842,0
155,9841,0
156,9840,0
157,9839,0
158,9838,0
159,9837,0
160,9836,0
161,9835,0
162,9834,0
163,9833,0
164,9832,0
165,9831,0
166,9830,0
167,9829,0
168,9828,0
169,9827,0
170,9825,0
171,9824,0
172,9823,0
173,9822,0
174,9821,0
175,9817,0
176,9816,0
177,9815,0
178,9813,0
179,9812,0
180,9811,0
181,9810,0
182,9809,0
183,9808,0
184,9807,0
185,9806,0
186,9805,0
187,9803,0
188,9801,0
189,9800,0
190,9799,0
191,9798,0
192,9797,0
193,9796,0
194,9795,0
195,9794,0
196,9792,0
197,9791,0
198,9790,0
199,9789,0
200,9788,0
201,9787,0
202,9785,0
203,9784,0
204,9782,0
205,9780,0
206,9779,0
207,9777,0
208,9776,0
209,9774,0
210,9773,0
211,9772,0
212,9769,0
213,9768,0
214,9745,0
215,9744,0
216,9743,0
217,9742,0
218,9740,0
219,9737,0
220,9735,0
221,9734,0
222,9731,0
223,9730,0
224,9729,0
225,9728,0
226,9727,0
227,9726,0
228,9724,0
229,9723,0
230,9721,0
231,9720,0
232,9719,0
233,9718,0
234,9717,0
235,9715,0
236,9714,0
237,9713,0
238,9712,0
239,9711,0
240,9710,0
241,9709,0
242,9688,0
243,9687,0
244,9686,0
245,9685,0
246,9684,0
247,9683,0
248,9681,0
249,9678,0
250,9677,0
251,9676,0
252,9675,0
253,9674,2
254,9673,0
255,9671,0
256,9670,9
257,9669,4
258,9668,0
259,9667,0
260,9666,8
261,9665,0
262,9664,0
263,9663,0
264,9662,0
265,9661,0
266,9660,0
267,9659,0
268,9658,0
269,9657,0
270,9656,0
271,9655,0
272,9654,0
273,9653,0
274,9652,0
275,9651,0
276,9650,0
277,9649,0
278,9648,0
279,9647,0
280,9646,0
281,9645,0
282,9644,0
283,9643,0
284,9642,0
285,9641,1
286,9640,0
287,9639,0
288,9638,0
289,9637,0
290,9636,0
291,9635,0
292,9634,0
293,9633,0
294,9632,0
295,9631,0
296,9630,0
297,9629,0
298,9628,0
299,9627,0
300,9626,0
301,9625,0
302,9624,0
303,9622,0
304,9621,0
305,9619,0
306,9617,0
307,9616,0
308,9614,0
309,9612,0
310,9611,0
311,9610,0
312,9609,0
313,9606,0
314,9602,0
315,9601,0
316,9600,0
317,9599,0
318,9598,0
319,9597,0
320,9595,0
321,9593,0
322,9591,5
323,9590,0
324,9589,0
325,9588,0
326,9587,0
327,9586,0
328,9585,0
329,9583,4
330,9582,0
331,9581,0
332,9580,0
333,9579,0
334,9578,0
335,9577,0
336,9576,0
337,9575,0
338,9574,0
339,9573,0
340,9572,0
341,9571,0
342,9570,0
343,9568,0
344,9567,0
345,9565,0
346,9564,0
347,9563,0
348,9562,0
349,9561,0
350,9560,0
351,9559,0
352,9558,0
353,9557,0
354,9556,0
355,9555,0
356,9554,0
357,9553,0
358,9552,0
359,9551,0
360,9550,0
361,9549,0
362,9548,0
363,9547,0
364,9546,0
365,9545,0
366,9544,0
367,9542,0
368,9541,0
369,9539,0
370,9538,26
371,9537,0
372,9536,0
373,9535,0
374,9533,0
375,9532,0
376,9531,0
377,9530,0
378,9529,0
379,9528,0
380,9527,0
381,9526,0
382,9525,0
383,9524,0
384,9523,0
385,9517,0
386,9515,0
387,9512,0
388,9511,0
389,9510,0
390,9509,0
391,9508,0
392,9507,29
393,9506,0
394,9505,0
395,9503,0
396,9502,6
397,9500,0
398,9499,11
399,9498,32
400,9497,0
401,9496,3
402,9495,1
403,9494,0
404,9493,10
405,9492,0
406,9491,28
407,9489,0
408,9488,9
409,9487,34
410,9486,0
411,9485,0
412,9484,1
413,9482,5
414,9481,0
415,9479,0
416,9478,30
417,9477,0
418,9476,0
419,9475,0
420,9474,0
421,9473,11
422,9472,0
423,9471,1
424,9470,0
425,9468,0
426,9467,0
427,9466,0
428,9465,0
429,9464,0
430,9463,0
431,9462,0
432,9461,0
433,9418,0
434,9417,0
435,9416,32
436,9415,0
437,9414,50
438,9413,0
439,9412,32
440,9411,47
441,9410,0
442,9409,26
443,9408,33
444,9407,41
445,9406,9
446,9405,0
447,9403,0
448,9378,0
449,9377,0
450,9375,0
451,9373,0
452,9369,0
453,9366,0
454,9365,0
455,9364,0
456,9363,0
457,9362,0
458,9361,0
459,9360,0
460,9359,0
461,9358,0
462,9356,0
463,9355,0
464,9353,0
465,9352,0
466,9351,0
467,9350,0
468,9344,0
469,9343,0
470,9327,0
471,9326,0
472,9322,0
473,9321,0
474,9307,0
475,9306,0
476,9304,0
477,9298,0
478,9290,0
479,9284,0
480,9282,0
481,9093,0
482,1786,0
483,1782,0
484,1781,0
485,1776,0
486,1775,0
487,1754,0
488,1753,0
489,1752,0
490,1751,0
491,1747,0
492,1746,0
493,1745,0
494,1741,0
495,1740,0
496,1739,0
497,1738,5
498,1737,16
499,1736,0
500,1734,0
501,1728,0
502,1727,0
503,1725,0
504,1722,0
505,1717,0
506,1716,0
507,1714,0
508,1713,0
509,1707,0
510,1701,0
511,1697,0
512,1696,0
513,1673,0
514,1672,5
515,1670,0
516,1669,0
517,1668,0
518,1667,0
519,1665,1
520,1656,0
521,1653,0
522,1651,0
523,1650,0
524,1649,0
525,1646,0
526,1642,0
527,1641,0
528,1638,0
529,1637,0
530,1636,0
531,1635,0
532,1633,13
533,1631,0
534,1630,0
535,1603,0
536,1601,0
537,1598,0
538,1597,0
539,1596,0
540,1595,5
541,1594,0
542,1592,12
543,1589,0
544,1588,0
545,1584,0
546,1579,0
547,1574,0
548,1573,0
549,1561,0
550,1558,0
551,1553,0
552,1548,0
553,1546,0
554,1544,0
555,1543,17
556,1542,0
557,1539,0
558,1536,3
559,1534,0
560,1528,0
561,1526,22
562,1516,0
563,1511,4
564,1506,0
565,1502,0
566,1501,0
567,1492,0
568,1490,12
569,1489,0
570,1487,6
571,1486,0
572,1484,10
573,1482,0
574,1481,0
575,1479,0
576,1474,0
577,1472,0
578,1471,0
579,1466,0
580,1456,0
581,1452,3
582,1451,19
583,1449,5
584,1446,0
585,1444,0
586,1443,17
587,1442,0
588,1434,0
589,1433,0
590,1431,0
591,1427,0
592,1417,0
593,1415,16
594,1412,0
595,1409,0
596,1408,0
597,1406,0
598,1405,0
599,1404,0
600,1403,13
601,1402,0
602,1400,0
603,1372,0
604,1370,0
605,1360,0
606,1357,0
607,1353,0
608,1348,0
609,1345,0
610,1343,0
611,1342,0
612,1336,0
613,1334,0
614,1331,0
615,1330,0
616,1326,0
617,1324,16
618,1323,0
619,1322,0
620,1315,0
621,1309,0
622,1304,0
623,1303,0
624,1301,0
625,1299,0
626,1298,0
627,1296,0
628,1295,0
629,1291,0
630,1289,4
631,1287,0
632,1286,0
633,1285,0
634,1248,0
635,1225,10
636,1185,0
637,1161,0
638,1155,0
639,1154,0
640,1127,0
641,1125,0
642,1117,0
643,1106,0
644,1067,0
645,1061,0
646,1002,0
647,988,0
648,971,0
649,969,0
650,968,0
651,941,0
652,929,0
653,928,0
654,903,0
655,898,0
656,820,0
657,139,0
658,138,0
659,136,0
660,131,0
661,120,0
662,118,0
663,117,0
664,114,0
665,111,0
666,110,12
667,109,0
668,108,30
669,107,29
670,106,0
671,101,0
672,94,0
673,92,0
674,90,0
675,87,0
676,86,0
677,85,0
678,84,0
679,81,0
680,78,0
681,77,0
682,75,0
683,74,0
684,73,45
685,72,0
686,71,0
687,68,0
688,67,0
689,65,0
690,64,0
691,63,0
692,62,0
693,61,23
694,60,0
695,59,0
696,58,1
697,57,0
698,56,0
699,55,0
700,53,0
701,52,0
702,51,0
703,50,0
704,49,18
705,48,0
706,47,0
707,45,0
708,44,0
709,42,0
710,41,0
711,40,0
712,39,0
713,38,0
714,37,0
715,35,4
716,32,0
717,31,0
718,30,0
719,29,0
720,28,0
721,24,0
722,23,2
723,4,0
724,3,0
725,2,0
726,1,0
